place,r,lower,upper
Andhra Pradesh,1.790244870295028,1.711596423381596,1.8706722308742783
Assam,1.426452956245643,1.2140062284227446,1.655888058766376
Bihar,2.0457883938432566,1.8795615534130334,2.219069267282482
Chhattisgarh,2.029442874644057,1.9820017106584622,2.07744601624155
Delhi,1.8443283606328924,1.7901491332549557,1.8993151686763419
Gujarat,1.6561582095079215,1.6194476640493995,1.6932760351743557
Haryana,1.6848205118923152,1.634106646899891,1.7363016387593577
India,1.5402863791463786,1.5338819322270187,1.5467040194632673
Jammu and Kashmir,1.4098664149287445,1.3108936198847176,1.5123965412199405
Jharkhand,1.7736959180870295,1.6378845378426419,1.9149358705319275
Karnataka,1.6576613799553959,1.6229786327864675,1.6927072505266962
Kerala,0.9695892598091959,0.9502424663371891,0.9891283727158834
Madhya Pradesh,1.6998832021626025,1.6589146836083135,1.7413483227632267
Maharashtra,1.5469866383851378,1.5388307720442798,1.555163802708431
Odisha,1.5737259240421901,1.4520596792032152,1.7002718849620129
Punjab,1.4472319825804643,1.4215991943683144,1.4730907765891228
Rajasthan,1.7757630552590198,1.7056067103149046,1.8473291282600723
Tamil Nadu,1.5560930516869143,1.5183756253703997,1.5942695403967309
Telangana,1.596807885842237,1.5237084660563185,1.671604665903715
Uttar Pradesh,2.11132186946572,2.0286443331080015,2.195659407795159
West Bengal,1.3875167690760195,1.326671197326197,1.4497125044112227
