place,r,lower,upper,.groups
Andhra Pradesh,1.0567299687963418,1.0476803886957893,1.0658179280777633,drop_last
Assam,1.2869967944283927,1.2657142267537116,1.3084545932355978,drop_last
Bihar,0.8977745098932491,0.879663730877761,0.9160672750225218,drop_last
Chhattisgarh,1.592807219094251,1.5605866457643272,1.6253556444372312,drop_last
Delhi,1.4085590343456096,1.382619802279445,1.4347375926357688,drop_last
Gujarat,1.0893724221783807,1.0630060871372866,1.1160572788362253,drop_last
Haryana,1.3387614696459298,1.3100017958552999,1.3678305813120408,drop_last
India,1.1261222552760324,1.1226355109672423,1.129614334575358,drop_last
Jammu and Kashmir,1.206800333043716,1.1688567290510667,1.2453476909793222,drop_last
Jharkhand,1.438059056390992,1.408097540580436,1.4683321756054777,drop_last
Karnataka,1.1050164458585057,1.0946926731223108,1.1153880268060392,drop_last
Kerala,0.9318919780773551,0.9132988365550001,0.9506706379117915,drop_last
Madhya Pradesh,1.2015391167272251,1.1747061890181028,1.2286709823769888,drop_last
Maharashtra,1.2134760235590731,1.2052080460979844,1.2217719450430924,drop_last
Odisha,1.0699038838766048,1.0533903435437781,1.0865441450954902,drop_last
Punjab,1.0441754673867443,1.020972802042797,1.0676352380896326,drop_last
Rajasthan,1.0862971009718894,1.0617207315385067,1.1111508454097734,drop_last
Tamil Nadu,1.004395990486065,0.9931007192196136,1.015754255040272,drop_last
Telangana,1.101770704311602,1.083056291549471,1.1206432053129431,drop_last
Uttar Pradesh,1.0846625097090516,1.0720374949714364,1.0973604369613421,drop_last
West Bengal,0.9820231879581852,0.9663462286510602,0.9978245413632632,drop_last
